"","predictions.test","NO2","BP","SOLR","TMP","WDIR","WSPD","TimeHours","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"274",38.3627466666667,32.5,981,63,4,137,1,"10:00",981,7.2,38.3,49.2,7.5,21,18,14,3,135,0.3,981,2.5,34.4,38.3,9.5,21,15,0,3,89,0.6,981,2.8,39.2,43.5,6,17.3,16,-3,3,76,0.4
"275",33.0868966666666,30.1,980,79,5,178,0.6,"11:00",981,6.9,32.5,43,14.5,19.5,17,63,4,137,1,981,7.2,38.3,49.2,7.5,21,18,14,3,135,0.3,981,2.5,34.4,38.3,9.5,21,15,0,3,89,0.6
"277",25.9792933333333,23,979,44,5,124,0.8,"13:00",979,5.3,24.4,32.5,21.5,24.1,21,66,5,161,0.6,980,5.9,30.1,39.2,16.5,23,21,79,5,178,0.6,981,6.9,32.5,43,14.5,19.5,17,63,4,137,1
"279",24.0228633333333,25.8,979,6,5,92,0.6,"15:00",979,2.5,22.5,26.3,25.9,25,23,33,5,96,0.9,979,4.4,23,29.6,23.4,24.9,23,44,5,124,0.8,979,5.3,24.4,32.5,21.5,24.1,21,66,5,161,0.6
"281",21.4928333333333,23.9,1011,250,13,238,1.5,"09:00",1011,4.7,25.3,32.5,55.4,23.1,15,79,12,250,1.4,1010,5.3,31.1,39.2,41.4,21.7,14,81,12,232,1.5,1010,4.4,31.1,37.8,38.9,22,14,46,11,252,0.8
"288",19.6888966666667,21.5,1011,248,17,203,2.9,"16:00",1010,2.2,20.6,23.9,64.9,23.4,17,457,17,215,2.8,1011,0.9,19.6,21,59.9,20.8,17,268,17,224,2,1011,7.8,15.3,27.3,66.9,16,14,496,16,255,2.3
"291",35.9625166666667,22,1016,313,14,246,2,"11:00",1016,23.4,39.2,75.1,38.9,45.6,31,161,12,248,2,1016,48,53.5,127.2,15.5,51.7,34,119,12,239,2.2,1016,21.8,41.6,75.1,32.4,47.9,34,124,12,242,2
"293",18.86285,15.8,1016,639,16,256,1.7,"13:00",1016,4.1,15.8,22,59.9,25,20,388,15,240,2.1,1016,6.9,22,32.5,72.8,30.7,24,313,14,246,2,1016,23.4,39.2,75.1,38.9,45.6,31,161,12,248,2
"298",17.17617,14.3,1019,534,17,149,1.3,"10:00",1019,11.8,18.2,36.3,74.8,30.3,17,358,15,113,1.5,1019,4.1,20.6,26.8,64.4,33.6,22,187,14,113,1.4,1019,7.2,33.9,44.9,46.4,44.8,29,70,12,70,0.9
"302",9.43601333333333,8.6,1017,272,19,124,1.1,"14:00",1018,5,8.6,16.3,102.3,23.3,15,378,19,188,0.9,1018,1.9,9.6,12.4,100.3,30.9,22,516,19,189,1.1,1019,2.8,10,14.3,104.8,30.7,17,632,18,137,1
"304",8.65471333333332,13.9,1016,168,18,199,1.4,"16:00",1017,1.2,6.7,8.6,103.8,28.2,17,164,19,151,1.5,1017,1.6,8.6,11,103.3,23.4,17,272,19,124,1.1,1018,5,8.6,16.3,102.3,23.3,15,378,19,188,0.9
"305",28.5744533333333,43,1012,289,19,190,0.9,"09:00",1013,7.5,40.6,52.1,54.9,54.4,40,202,17,191,0.7,1013,13.4,57.9,78.4,34.4,50.4,39,119,14,144,0.5,1014,6.9,49.2,59.8,36.4,42.8,33,71,13,117,0.3
"306",27.4063066666667,34.9,1012,354,19,194,1,"10:00",1012,3.7,43,48.8,43.9,48.6,32,289,19,190,0.9,1013,7.5,40.6,52.1,54.9,54.4,40,202,17,191,0.7,1013,13.4,57.9,78.4,34.4,50.4,39,119,14,144,0.5
"311",27.4563833333333,43.5,1009,378,20,158,1.2,"15:00",1010,5.3,35.9,44,33.9,23.7,10,498,20,153,1.3,1010,6.7,26.8,37,52.4,27.8,18,566,20,151,1.4,1011,4.4,24.4,31.1,62.4,26.2,16,483,20,172,1.4
"314",13.8892566666667,12,1002,415,17,225,0.9,"10:00",1002,5,13.9,21.5,65.4,14.2,7,105,16,271,0.7,1003,8.7,21.5,34.9,48.9,23.6,16,201,16,253,1.2,1003,7.2,26.8,37.8,36.4,22.5,16,130,14,268,1.3
"315",11.78096,10.5,1001,402,19,238,1,"11:00",1002,3.7,12,17.7,72.8,21.8,16,415,17,225,0.9,1002,5,13.9,21.5,65.4,14.2,7,105,16,271,0.7,1003,8.7,21.5,34.9,48.9,23.6,16,201,16,253,1.2
"316",9.63163999999999,11.5,1001,408,19,245,1.2,"12:00",1001,3.7,10.5,16.3,80.3,23.1,15,402,19,238,1,1002,3.7,12,17.7,72.8,21.8,16,415,17,225,0.9,1002,5,13.9,21.5,65.4,14.2,7,105,16,271,0.7
