"","predict","X","Site","Time","BP","NO","NO2","NOX","O3","PM10","PM2.5","SOLR","TMP","WDIR","WSPD","TimeHours","TimeHoursNum","Date","Year","Month","Week","Day","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"52",209.54571210175,208,"GR4","07/12/2009 16:00",991,1.2,11.5,13.4,55.4,17.3,12,-1,9,200,3,"16:00",16,"2009-12-07",2009,12,49,"Monday",991,1.6,11,13.4,48.9,21.1,12,85,10,214,3.3,990,1.6,10,12.4,47.4,22.7,12,274,11,229,3.9,989,0.9,7.7,9.1,48.9,19.1,11,392,11,217,4
"53",226.863873225358,211,"GR4","08/12/2009 11:00",991,9,38.3,52.1,28.4,27.7,15,78,11,171,1.9,"11:00",11,"2009-12-08",2009,12,49,"Tuesday",992,9.7,39.2,54,24.9,23.1,10,50,11,205,1.9,993,15.9,49.2,73.6,14.5,21.4,13,37,10,200,1.7,993,18.4,57.4,85.6,8,20.4,13,7,10,238,1.3
"54",228.883897136634,215,"GR4","08/12/2009 15:00",988,7.2,44.5,55.5,14,37.7,23,4,10,181,1.5,"15:00",15,"2009-12-08",2009,12,49,"Tuesday",989,7.2,40.6,51.6,17,31.8,14,19,10,174,1.5,989,7.5,30.1,41.6,30.9,29.8,13,29,10,199,1.5,990,7.5,31.1,42.6,37.4,27.4,13,74,11,198,1.8
"55",226.549261996276,218,"GR4","09/12/2009 10:00",1003,7.5,32,43.5,36.4,33.9,12,150,8,232,1.6,"10:00",10,"2009-12-09",2009,12,49,"Wednesday",1003,22.5,52.6,87,11.5,34.7,15,119,7,241,1.9,1002,30.6,45.9,92.8,3,30.5,16,19,6,229,2,1001,14.7,44,66.5,2.5,26.7,15,-2,6,232,1.9
"56",202.605831944744,219,"GR4","09/12/2009 11:00",1004,5.9,31.1,40.2,35.4,37.6,15,95,8,241,2,"11:00",11,"2009-12-09",2009,12,49,"Wednesday",1003,7.5,32,43.5,36.4,33.9,12,150,8,232,1.6,1003,22.5,52.6,87,11.5,34.7,15,119,7,241,1.9,1002,30.6,45.9,92.8,3,30.5,16,19,6,229,2
"57",230.835928084542,221,"GR4","09/12/2009 13:00",1004,5.3,29.6,37.8,35.9,41.2,23,101,9,214,1.4,"13:00",13,"2009-12-09",2009,12,49,"Wednesday",1004,7.2,29.2,40.2,41.4,35.9,19,132,9,215,2.3,1004,5.9,31.1,40.2,35.4,37.6,15,95,8,241,2,1003,7.5,32,43.5,36.4,33.9,12,150,8,232,1.6
"58",211.668657690044,222,"GR4","09/12/2009 14:00",1004,15.9,44,68.4,16,39.5,23,46,9,171,0.2,"14:00",14,"2009-12-09",2009,12,49,"Wednesday",1004,5.3,29.6,37.8,35.9,41.2,23,101,9,214,1.4,1004,7.2,29.2,40.2,41.4,35.9,19,132,9,215,2.3,1004,5.9,31.1,40.2,35.4,37.6,15,95,8,241,2
"59",210.08488290359,223,"GR4","09/12/2009 15:00",1004,9,48.8,62.6,6,39.3,22,9,9,172,0.6,"15:00",15,"2009-12-09",2009,12,49,"Wednesday",1004,15.9,44,68.4,16,39.5,23,46,9,171,0.2,1004,5.3,29.6,37.8,35.9,41.2,23,101,9,214,1.4,1004,7.2,29.2,40.2,41.4,35.9,19,132,9,215,2.3
"60",223.999668357922,224,"GR4","09/12/2009 16:00",1004,12.5,56.4,75.5,2.5,39.8,22,-2,9,190,1,"16:00",16,"2009-12-09",2009,12,49,"Wednesday",1004,9,48.8,62.6,6,39.3,22,9,9,172,0.6,1004,15.9,44,68.4,16,39.5,23,46,9,171,0.2,1004,5.3,29.6,37.8,35.9,41.2,23,101,9,214,1.4
"61",249.056995935414,227,"GR4","10/12/2009 11:00",1010,11.5,43.5,61.2,29.9,21.3,14,90,11,212,1.6,"11:00",11,"2009-12-10",2009,12,49,"Thursday",1010,23.4,54.5,90.4,12.5,24.5,12,99,11,200,1.3,1009,20,56.9,87.5,9,22.6,13,64,10,203,1.1,1009,18.1,61.2,88.9,6.5,21.1,13,18,9,205,0.2
"62",226.926872221262,229,"GR4","10/12/2009 13:00",1010,4.4,27.7,34.4,29.4,15.4,13,65,12,215,1.6,"13:00",13,"2009-12-10",2009,12,49,"Thursday",1010,4.7,26.3,33.5,35.9,17.8,11,107,12,211,1.1,1010,11.5,43.5,61.2,29.9,21.3,14,90,11,212,1.6,1010,23.4,54.5,90.4,12.5,24.5,12,99,11,200,1.3
"63",222.19863881529,231,"GR4","10/12/2009 15:00",1010,4.1,45.9,52.1,11,25.7,14,7,12,201,0.2,"15:00",15,"2009-12-10",2009,12,49,"Thursday",1010,18.4,35.4,63.6,23.9,25.3,15,29,12,196,0.6,1010,4.4,27.7,34.4,29.4,15.4,13,65,12,215,1.6,1010,4.7,26.3,33.5,35.9,17.8,11,107,12,211,1.1
