,Time,CO,NO2,NOX,O3,PM10,SOLR,TMP,WDIR,WSPD
206,2/3/07 12:00,0.5,80,96.1,218.3,43.9,336,11,207,4.8
207,2/3/07 13:00,0.3,78,73.1,191.3,49.9,338,12,196,5
208,2/3/07 14:00,0.5,61,74.1,168.2,51.9,185,12,197,5
209,2/3/07 15:00,0.3,9,40.1,53.1,55.9,70,10,180,5.5
210,2/3/07 16:00,0.3,3,19,23,65.9,24,9,154,4.3
211,2/3/07 17:00,0.3,1,23,25,59.9,1,8,155,4.5
212,2/3/07 18:00,0.5,1,34,36,49.9,0,7,123,4.3
213,2/3/07 19:00,0.3,1,31,32,47.9,0,7,116,5.5
214,2/3/07 20:00,0.3,1,21,23,59.9,0,6,114,6
215,2/3/07 21:00,0.3,1,13,15,67.9,0,6,113,6
216,2/3/07 22:00,0.3,1,13,15,61.9,0,7,112,5.5
217,2/3/07 23:00,0.5,44,46.1,113.1,27.9,0,7,80,3
218,3/3/07 1:00,0.3,1,11,13,55.9,0,7,274,9.5
219,3/3/07 2:00,0.2,3,10,13,65.9,0,5,286,7.8
220,3/3/07 3:00,0.2,3,11,15,63.9,0,4,298,5.8
221,3/3/07 4:00,0.3,9,17,31,51.9,0,3,300,4.8
222,3/3/07 5:00,0.3,16,36,61.1,33.9,0,3,294,4
223,3/3/07 6:00,0.5,28,52.1,94.1,22,2,4,289,3.3
224,3/3/07 7:00,0.5,44,63.1,130.2,12,13,4,284,3
225,3/3/07 8:00,0.5,43,57.1,122.2,18,111,5,293,2
226,3/3/07 9:00,0.3,30,40.1,86.1,33.9,294,8,275,3.5
227,3/3/07 10:00,0.2,18,31,57.1,51.9,366,11,284,4.8
228,3/3/07 11:00,0.2,25,32,71.1,49.9,417,12,279,5.3
229,3/3/07 12:00,0.2,30,38,84.1,47.9,446,13,276,5.8
230,3/3/07 13:00,0.3,25,40.1,78.1,47.9,289,12,271,6.3
231,3/3/07 14:00,0.3,34,55.1,107.1,35.9,108,11,270,3.8
232,3/3/07 15:00,0.3,11,38,55.1,53.9,82,12,258,3.8
233,3/3/07 16:00,0.3,5,21,29,63.9,53,12,271,4.5
234,3/3/07 17:00,0.3,5,29,36,57.9,16,11,264,5.3
235,3/3/07 18:00,0.6,14,63.1,84.1,27.9,0,10,256,3.3
236,3/3/07 19:00,0.5,34,90.1,141.2,10,0,9,232,4
237,3/3/07 20:00,0.6,33,90.1,139.2,8,0,8,223,3.5
238,3/3/07 21:00,0.5,43,86.1,151.2,6,0,7,225,3
239,3/3/07 22:00,0.5,45,80.1,149.2,2,0,6,233,2.8
240,3/3/07 23:00,0.3,11,52.1,69.1,12,0,5,226,1.8
241,4/3/07 1:00,0.5,8,57.1,69.1,4,0,4,117,1
242,4/3/07 2:00,0.5,18,57.1,84.1,2,0,3,113,1
243,4/3/07 3:00,0.3,13,42.1,61.1,14,0,3,148,2
244,4/3/07 4:00,0.2,9,42.1,55.1,12,0,4,122,2
245,4/3/07 5:00,0.2,3,25,29,31.9,0,5,135,3
246,4/3/07 6:00,0.2,1,23,25,33.9,2,6,125,2.8
247,4/3/07 7:00,0.2,3,23,27,41.9,21,7,129,4
248,4/3/07 8:00,0.2,3,17,21,49.9,63,8,132,4.3
249,4/3/07 9:00,0.2,3,19,23,45.9,62,9,140,4.5
250,4/3/07 10:00,0.3,4,19,25,55.9,93,10,159,5.8
251,4/3/07 11:00,0.3,3,15,19,61.9,71,9,159,6
252,4/3/07 12:00,0.3,3,19,23,53.9,67,9,159,6
253,4/3/07 13:00,0.5,4,21,27,51.9,73,10,151,5.8
254,4/3/07 14:00,0.2,4,19,25,47.9,36,10,153,5.5
255,4/3/07 15:00,0.3,3,19,23,51.9,33,11,153,5.3
256,4/3/07 16:00,0.3,3,25,29,47.9,16,12,163,5.3
257,4/3/07 17:00,0.3,3,21,25,47.9,2,13,173,5.8
258,4/3/07 18:00,0.5,6,32,42.1,33.9,0,13,187,5.8
259,4/3/07 19:00,0.5,11,53.1,71.1,37.9,0,12,218,6
260,4/3/07 20:00,0.5,10,61.1,76.1,47.9,0,11,212,5.8
261,4/3/07 21:00,0.5,10,59.1,74.1,47.9,0,11,215,5.5
262,4/3/07 22:00,0.5,9,55.1,69.1,41.9,0,11,218,5
263,4/3/07 23:00,0.3,4,31,36,59.9,0,10,223,4.5
264,5/3/07 1:00,0.2,1,6,8,73.8,0,8,244,4.5
265,5/3/07 2:00,0.2,1,10,11,73.8,0,8,242,5.5
266,5/3/07 3:00,0.2,1,8,10,75.8,0,8,242,5.8
267,5/3/07 4:00,0.2,1,15,17,69.8,0,7,230,4.3
268,5/3/07 5:00,0.3,3,34,38,51.9,0,6,229,4.8
269,5/3/07 6:00,0.5,10,63.1,78.1,35.9,5,6,234,5
270,5/3/07 7:00,0.5,14,59.1,80.1,41.9,68,6,232,5.5
271,5/3/07 8:00,0.3,14,40.1,61.1,51.9,194,7,241,6.3
272,5/3/07 9:00,0.3,14,36,57.1,55.9,314,8,242,7
273,5/3/07 10:00,0.5,10,29,44.1,63.9,370,10,247,8
274,5/3/07 11:00,0.3,13,32,52.1,61.9,362,11,239,8.3
275,5/3/07 12:00,0.2,14,36,57.1,57.9,291,12,239,7.8
276,5/3/07 13:00,0.2,11,38,55.1,59.9,188,12,231,7.5
277,5/3/07 14:00,0.3,18,48.1,74.1,55.9,150,11,215,7
278,5/3/07 15:00,0.2,51,90.1,168.2,49.9,80,11,211,7
279,5/3/07 16:00,0.3,35,103.1,157.2,49.9,39,11,210,7
280,5/3/07 17:00,0.3,28,96.1,138.2,55.9,6,12,210,7.5
281,5/3/07 18:00,0.5,41,94.1,157.2,55.9,0,12,206,8
282,5/3/07 19:00,0.3,38,82.1,139.2,57.9,0,11,206,8
283,5/3/07 20:00,0.5,41,90.1,153.2,57.9,0,12,207,8.8
284,5/3/07 21:00,0.3,61,88.1,181.2,55.9,0,10,211,8
285,5/3/07 22:00,0.2,50,76.1,153.2,65.9,0,10,214,8.5
286,5/3/07 23:00,0.1,6,8,17,87.8,0,10,210,8.5
287,6/3/07 1:00,0.1,1,2,4,91.8,0,10,205,9.3
288,6/3/07 2:00,0.1,1,0,2,87.8,0,9,205,9.5
289,6/3/07 3:00,0.1,1,2,4,85.8,0,10,207,9
290,6/3/07 4:00,0.2,1,6,8,83.8,0,11,211,8
291,6/3/07 5:00,0.2,1,23,25,69.8,0,10,231,6.5
292,6/3/07 6:00,0.5,5,44.1,52.1,57.9,2,11,219,6.8
293,6/3/07 7:00,0.3,13,63.1,82.1,41.9,22,12,224,6.3
294,6/3/07 8:00,0.3,13,52.1,71.1,47.9,102,12,244,6
295,6/3/07 9:00,0.2,11,36,53.1,57.9,112,12,262,5.3
296,6/3/07 10:00,0.3,16,42.1,67.1,51.9,161,12,261,4.8
297,6/3/07 11:00,0.2,14,29,50.1,57.9,362,13,270,4.5
298,6/3/07 12:00,0.2,14,29,50.1,63.9,451,15,260,4.8
299,6/3/07 13:00,0.3,10,29,44.1,63.9,379,15,243,4.8
300,6/3/07 14:00,0.3,13,31,50.1,63.9,183,15,236,4.8
301,6/3/07 15:00,0.2,56,59.1,145.2,37.9,132,15,255,4
302,6/3/07 16:00,0.3,85,99.1,229.3,29.9,48,14,232,4
303,6/3/07 17:00,0.5,73,84.1,195.3,29.9,14,13,218,4.3
304,6/3/07 18:00,0.6,73,120.2,231.3,18,0,12,215,3.8
305,6/3/07 19:00,0.6,94.9,134.2,279.39999,10,0,10,213,3
306,6/3/07 20:00,0.6,105.9,113.1,275.39999,10,0,9,214,3.3
307,6/3/07 21:00,0.6,84,94.1,222.3,10,0,8,219,3.8
308,6/3/07 22:00,0.5,74,99.1,212.3,12,0,7,216,3.5
309,6/3/07 23:00,0.3,5,44.1,52.1,16,0,6,211,2
310,7/3/07 1:00,0.2,1,27,29,43.9,0,7,226,2.3
311,7/3/07 2:00,0.2,1,27,29,43.9,0,6,236,3
312,7/3/07 3:00,0.2,1,15,17,57.9,0,6,245,3
